,,Criteria Weight,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,8.33,0,,
,,,Shows Proven Usage,,,Aligns with Technical Direction,,,Plays Well with Others,,,Takes a System View,,,,,
Candidate Capabilities,Count,Score,Widely Deployed,Used By Tools,Used By Clients,TC Future Direction,Complete,Stable,Discoverable,Doc'd,Core in Last Rel.,Foundational,Atomic,Proximity,Non-Admin,Description,xref
compute-servers,73,100,1,1,1,1,1,1,1,1,1,1,1,1,1,Basic Nova functions (launch instances),
volume,30,100,1,1,1,1,1,1,1,1,1,1,1,1,1,,
compute-volume,16,100,1,1,1,1,1,1,1,1,1,1,1,1,1,Attach/Detach functionality only,
compute-quotas,2,100,1,1,1,1,1,1,1,1,1,1,1,1,1,,
compute-flavors,15,96,1,1,1,0.5,1,1,1,1,1,1,1,1,1,,
images-v1,19,92,1,1,1,1,1,1,1,1,0,1,1,1,1,,
compute-auth,14,92,1,1,1,0.5,1,1,1,0.5,1,1,1,1,1,,
images-v2,5,92,1,1,1,1,1,1,1,1,0,1,1,1,1,,
objectstore-object,17,83,0.5,1,1,1,1,1,0.5,1,0,1,1,1,1,,
compute-keypairs,17,83,1,1,1,1,1,1,1,1,1,0,1,0,1,Injects keys into VMs,
compute-servers-metadata,16,83,1,1,1,1,1,1,1,1,1,1,0,0,1,Tagging,
objectstore-container,5,83,0.5,1,1,1,1,1,0.5,1,0,1,1,1,1,,
volume-snapshots,2,83,1,1,1,1,1,1,1,1,1,0,0,1,1,,
compute-images,37,79,0.5,1,1,0,1,1,1,1,1,0,1,1,1,,
compute-floating-ips,14,79,1,1,1,0.5,1,1,1,1,0,0,1,1,1,,
compute-instance-actions,4,79,1,1,1,1,1,1,1,0.5,0,1,1,0,1,,
compute-security-groups,27,71,1,1,1,0.5,1,1,0,1,0,0,1,1,1,,
compute-image-metadata,12,67,1,0,0,0,1,1,1,1,1,0,1,1,1,allows users add arbitrary keys and values on create,
objectstore-container-quota,3,67,1,0,0,0.5,1,1,0.5,1,1,1,1,0,1,,
compute-virtual-interfaces,2,67,0.5,1,1,0.5,1,0,1,1,0,1,1,0,1,There are COMPETITING VERSIONS that cause Interop pain,
objectstore-container-acl,11,62,1,0,0,0,1,1,0.5,1,1,1,1,0,1,,
objectstore-acct-services,8,62,1,0,0,0,1,1,0.5,1,1,1,1,0,1,,
objectstore-container-staticweb,2,62,1,0,0,0,1,1,0.5,1,1,1,1,0,1,,
<identity-non-admin-roles>,?,58,1,0,0,1,1,0,1,1,0,1,1,0,1,Used w/ middleware (LDAP or AD),
compute-usage,6,58,0,1,0,0,1,1,1,1,0,0,1,1,1,Used by Dashboard,
compute-limits,2,58,1,1,0,1,1,1,1,1,0,0,0,0,1,Works with rate limiting,
networks-extensions,1,58,0,0,0,1,1,1,1,1,0,1,1,0,1,,
networks-l2,14,50,0,0,0,1,0,0,1,1,0,1,1,1,1,,
compute-ext-disk-config,4,50,1,0,1,0,1,0,1,1,0,0,1,0,1,controls how the disk is partitioned when you manage a server,https://github.com/openstack/tempest/blob/master/tempest/api/compute/servers/test_disk_config.py
networks-l3,3,50,0,0,0,1,0,0,1,1,0,1,1,1,1,,
compute-live-migration,3,42,0,0,0,1,0,0,1,1,0,1,1,0,1,,
compute-servers-personality,3,42,1,0,0,0,1,1,1,1,0,0,0,0,1,,
networks-floating-ips,1,37,0,0,0,1,0,0,1,1,0,0.5,1,0,1,,http://docs.openstack.org/admin-guide-cloud/content/l3_workflow.html
networks-security-groups,5,33,0,0,0,1,0,0,1,1,0,0,0,1,1,,
networks-lbaas,12,25,0,0,0,1,0,0,1,1,0,0,0,0,1,,http://docs.openstack.org/admin-guide-cloud/content/fwaas_workflow.html
orch-stacks,20,21,0,0,0,0,0,0,0.5,1,0,1,0,0,1,,
compute-multiple-create,7,21,0,0,0,0.5,0,0,1,0,0,0,0,1,1,,
networks-vpn,3,17,0,0,0,1,0,0,1,0,0,0,0,0,1,,
compute-attach-interface,1,17,0,0,0,0,0,0,1,0,0,0,1,0,1,used to attach NIC to running VM,
networks-quotas,1,17,0,0,0,1,0,0,1,0,0,0,0,0,1,,
compute-auth-v3,1,8,0,0,0,1,0,0,0,0,0,0,0,0,1,,
compute-volume-proxy,?,0,,,,0,,,,,0,,,,,Maps to the old os-volume extensions,
compute-volume-ebs,?,0,,,,0,,,,,0,,,,,,
compute-console-log,1,-17,0,0,0,1,0,0,0,0,0,0,1,0,-1,,
identity-admin-v3-roles,5,-25,0,0,0,1,0,0,0,0,0,1,1,0,-1,,
identity-admin-v3-endpoints,3,-25,0,0,0,1,0,0,0,0,0,1,1,0,-1,,
identity-admin-v3-credentials,2,-25,0,0,0,1,0,0,0,0,0,1,1,0,-1,,
identity-admin-v3-domains,2,-25,0,0,0,1,0,0,0,0,0,1,1,0,-1,,
identity-admin-v3-policies,2,-25,0,0,0,1,0,0,0,0,0,1,1,0,-1,,
identity-admin-v3-users,2,-25,0,0,0,1,0,0,0,0,0,1,1,0,-1,,
identity-admin-v3-services,1,-25,0,0,0,1,0,0,0,0,0,1,1,0,-1,,
identity-admin-v3-tokens,1,-25,0,0,0,1,0,0,0,0,0,1,1,0,-1,,
identity-admin-v3-projects,15,-33,0,0,0,1,0,0,0,0,0,1,1,1,-1,,
volume-multi-backend,2,-42,0,0,0,1,1,1,0,1,0,0,1,0,-1,,
identity-admin-users,31,-54,1,0,0,0,1,1,1,0.5,0,0,1,1,-1,,
identity-admin-roles,23,-58,0,0,0,1,1,1,1,1,0,1,1,0,-1,,
compute-admin-aggregates,18,-62,1,0.5,0.5,0.5,1,1,0,1,0,0,1,1,-1,,https://blueprints.launchpad.net/nova/+spec/host-aggregates
objectstore-quotas,4,-67,1,0,0,0.5,1,1,0.5,1,1,1,1,0,-1,,
compute-admin-servers-pause,3,-67,1,1,0,1,1,1,1,0,0,0,1,1,-1,admin only,
compute-admin-servers-suspend,3,-67,1,1,0,1,1,1,1,0,0,0,1,1,-1,admin only,
identity-admin-tenants,20,-71,1,1,1,0,1,0,1,0.5,0,1,1,1,-1,,
compute-admin-avail-zone,4,-83,1,1,1,0,1,1,1,1,1,1,1,0,-1,,
identity-admin-services,2,-87,1,1,1,1,1,1,1,0.5,0,1,1,1,-1,,
volume-extra-specs,13,-92,1,1,1,1,1,1,0,1,1,1,1,1,-1,,
compute-admin-flavors,24,-96,1,1,1,0.5,1,1,1,1,1,1,1,1,-1,related to compute flavors,
compute-admin-server,11,-96,1,1,1,1,1,1,1,1,1,0.5,1,1,-1,,
compute-admin-services,9,-96,1,1,1,1,1,1,1,1,1,0.5,1,1,-1,,
compute-admin-fixed-ips,8,-96,1,1,1,0.5,1,1,1,1,1,1,1,1,-1,,
compute-admin-quota,9,-100,1,1,1,1,1,1,1,1,1,1,1,1,-1,,
compute-admin-hypervisor,8,-100,1,1,1,1,1,1,1,1,1,1,1,1,-1,,
compute-admin-hosts,7,-100,1,1,1,1,1,1,1,1,1,1,1,1,-1,,
,,,59.42%,48.55%,44.20%,71.13%,68.12%,62.32%,72.46%,71.74%,35.21%,64.49%,84.06%,50.72%,18.84%,,